,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
22,804,857,BLOOD UREA NITROGEN,BUN,BUN,UREA,Azote de l'Uree,AzÃ_t ire nan san,,,,,,,,,,,
23,786,1026,DIFFERENTIAL,DIFF,DIFF,,,,,,,,,,,,,,
24,772,653,SERUM GLUTAMIC-OXALOACETIC TRANSAMINASE,SGOT,ASPARTATE AMINOTRANSFERASE,AST,SGOT,SÃ‰RUM TRANSAMINASE GLUTAMIQUE-OXALACÃ‰TIQUE,SewÃ_m tranzaminaz glutamique-oxaloacetic,,,,,,,,,,
25,766,848,SERUM ALBUMIN,Albumine serum,Albumin sewÃ_m,,,,,,,,,,,,,,
26,765,785,ALKALINE PHOSPHATASE,ALP,ALK PHOS,ALP,Serum alkaline phosphatase,PHOSPHATASE ALCALINE,asid fosfataz,,,,,,,,,,
27,764,654,SERUM GLUTAMIC-PYRUVIC TRANSAMINASE,SGPT,ALANINE AMINOTRANSFERASE,ALT,SGPT,Serum transaminase glutamique-pyruvique,SewÃ_m tranzaminaz glutamique-pyruvic,,,,,,,,,,
28,764,655,TOTAL BILIRUBIN,TBILI,BILI,BILIRUBIN,TBILI,BILIRUBINE TOTALE,Bilirubin total,,,,,,,,,,
29,764,717,TOTAL PROTEIN,PROTÃ‰INES TOTALES,PWOTEYIN TOTAL,,,,,,,,,,,,,,
30,761,33334035,Conscious and Oriented,Cynosis,Conscious and Oriented,,,,,,,,,,,,,,
31,760,1297,DIRECT BILIRUBIN,DBILI,DBILI,Bilirubine Directe,Bilirubin dirÃ¨k,,,,,,,,,,,,
32,751,33334014,Phosphorous Test,,,,,,,,,,,,,,,,
33,749,33334030,Previous Treatment,,,,,,,,,,,,,,,,
34,742,159829,"GGT, serum","gamma glutamyl transpeptidase, serum",,,,,,,,,,,,,,,
35,645,33334034,Other Personal History,,,,,,,,,,,,,,,,
36,600,33334031,Previous Operations,,,,,,,,,,,,,,,,
37,585,790,Serum creatinine (umol/L),CRÃ‰ATININE,CR,CR,Kreyatinin,,,,,,,,,,,,
38,577,159497,Serum calcium,Ca,CalcÃ©mie,SewÃ_m kalsyÃ_m,,,,,,,,,,,,,
39,535,33334033,Other History,,,,,,,,,,,,,,,,
40,517,33334012,prothrombin,Prothrombin Time,Prothrombin Time (mg/dL),,,,,,,,,,,,,,
41,445,33334038,Charlson Comorbidity Score,,,,,,,,,,,,,,,,
42,416,33334544,Community supportive(Family and Social Aspect),,,,,,,,,,,,,,,,
43,412,33334542,Family supportive(Family and Social Aspect),,,,,,,,,,,,,,,,
44,402,33334442,Has DVT prophylaxis been administered,,,,,,,,,,,,,,,,
45,401,33334432,Does Patient Have A Difficult Airway/Aspiration Risk?,,,,,,,,,,,,,,,,
46,401,33334433,Does Patient Have A Risk of 500ml blood loss(7ml/kg in children)?,,,,,,,,,,,,,,,,
47,401,33334434,Has the imaging been discussed with radiologist preoperatively,,,,,,,,,,,,,,,,
48,401,33334448,Is essential imaging displayed,,,,,,,,,,,,,,,,
49,401,33334440,Has antibiotic prophylaxis been given within the last 60 minutes?,,,,,,,,,,,,,,,,
50,389,33334427,"Patient has confirmed IDENTITY,SITE,PROCEDURE,CONSENT",,,,,,,,,,,,,,,,
51,375,33334429,Anaesthesia Safety Check Completed,,,,,,,,,,,,,,,,
52,375,33334559,Sad,,,,,,,,,,,,,,,,
53,371,33334430,Pulse Oximeter on Patient and Functioning,,,,,,,,,,,,,,,,
54,363,33334549,Caregiver attitude positive(Family and Social Aspect),,,,,,,,,,,,,,,,
55,360,33334428,Site Marked/Not Applicable,,,,,,,,,,,,,,,,
56,345,33334552,Easy to talk,,,,,,,,,,,,,,,,
57,341,33334546,Family functional(Family and Social Aspect),,,,,,,,,,,,,,,,
58,314,33334028,Blood Investigations,,,,,,,,,,,,,,,,
59,306,33334032,Ongoing Drug Treatment,,,,,,,,,,,,,,,,
60,286,33334431,Does Patient Have A Known Allergy?,,,,,,,,,,,,,,,,
61,274,33334565,Fear Of leaving family behind,,,,,,,,,,,,,,,,
62,269,33334557,Hope(Emotional Stage),,,,,,,,,,,,,,,,
63,225,159830,"creatinine measurement, urine, random",,,,,,,,,,,,,,,,
64,218,33334563,Fear Of death,,,,,,,,,,,,,,,,
65,215,159658,"calcium measurement, urine",urine Ca,,,,,,,,,,,,,,,
66,210,156639,history of hypertension,Histoire d'hypertension,Istwa Tansyon wo,,,,,,,,,,,,,,
67,206,33334039,General Physical Examination,,,,,,,,,,,,,,,,
68,203,33334558,Acceptance(Emotional Stage),,,,,,,,,,,,,,,,
69,196,33334564,Fear Of severe pain,,,,,,,,,,,,,,,,
70,176,160797,T0 tumor stage,T0,T0 tumour stage,,,,,,,,,,,,,,
71,172,119481,Diabetes Mellitus,DiabÃ¨te mellitus,Ugonjwa wa Kisukari,diabetes mellitus,Diabetes,diabetes mellitus,ÄêÃ¡i thÃ¡o Ä‘Æ°á»ùng,Tiá»ƒu Ä‘Æ°á»ùng,Diabete,Maladi sik,,,,,,,
72,135,152722,Smoker,fumador,Current smoker,Patient currently smokes,tabagisme,"Fumeur	",Fimen,,,,,,,,,,
73,130,33334131,Patient Admission,,,,,,,,,,,,,,,,
74,125,33334329,Ca Pancreas,,,,,,,,,,,,,,,,
75,110,143098,Current Drinker,bebedor de alcohol,Patient currently consumes alcohol,,,,,,,,,,,,,,
76,108,33334529,Mouth Care,,,,,,,,,,,,,,,,
77,102,116689,Intestinal Obstruction,obstrucciÃ_n intestinal,,,,,,,,,,,,,,,
78,101,33334540,Diet,,,,,,,,,,,,,,,,
79,100,136443,Jaundice,IctÃ¨re,ictericia,_–_•_›_¢_£_¥_ê,icterus,VÃ ng da,LajÃ_nis,,,,,,,,,,
80,98,33334435,Confirm all team members have introduced themselves by name and role,,,,,,,,,,,,,,,,
81,95,33334320,Ca Colon,,,,,,,,,,,,,,,,
82,93,33334447,"Surgeon, Anaesthetia Professional And nurse review the key conerrns for recovery and management of this patient",,,,,,,,,,,,,,,,
83,92,33334436,"Surgeon, anaesthesia professional and nurse verbally confirm: Patient, Site & procedure",,,,,,,,,,,,,,,,
84,91,33334456,Prognosis,,,,,,,,,,,,,,,,
85,90,33334467,Level of Consciousness,,,,,,,,,,,,,,,,
86,90,33334040,Complete Blood Counts,CBCs,,,,,,,,,,,,,,,
87,89,33334454,Revealed by(Patient diagnoses),Revealed by(Patient diagnosis),,,,,,,,,,,,,,,
88,89,33334463,Stage,,,,,,,,,,,,,,,,
89,89,33334453,Diagnosis(Patient Aware/Not Aware),,,,,,,,,,,,,,,,
90,88,155551,chronic anemia,chronische anemie,,,,,,,,,,,,,,,
91,88,33334538,Skin Care,,,,,,,,,,,,,,,,
92,87,33334042,Respiratory Function Tests,RFTs,,,,,,,,,,,,,,,
93,86,33334041,Liver Function Tests,LFTs,,,,,,,,,,,,,,,
94,83,151447,Ileostomy Status,antecedente de: ileostomÃ_a,IlÃ©ostomie,_ù_°_»_¸Ñ‡_¸_µ _¸_»_µ__ÑÅÑ‚____Ñ‹,,,,,,,,,,,,,
95,76,33334280,Previous Treatment 1,,,,,,,,,,,,,,,,
96,73,14,"DIARRHEA, AMOEBIASIS",AMOEBIC DIARRHOEA,AMOEBIC DYSENTRY,,,,,,,,,,,,,,
97,70,33334536,Bowel Care,,,,,,,,,,,,,,,,
98,70,33334418,Grade I (CCI),,,,,,,,,,,,,,,,
99,70,33334043,Other Investigations,,,,,,,,,,,,,,,,
100,69,33334399,Stomach Carcinoma,,,,,,,,,,,,,,,,
101,64,33334344,Gallstones,,,,,,,,,,,,,,,,
102,64,137654,Incisional Hernia,eventraciÃ_n,,,,,,,,,,,,,,,
103,62,115432,Myocardial Infarction,infarto de miocardio,Heart attack,MI (Myocardial Infarction),myocardinfarct,Infarctus du myocarde,Kriz kadiak,,,,,,,,,,
104,60,114212,Peripheral Vascular Disease,enfermedad vascular perifÃ©rica,PVD (peripheral vascular disease),Maladie vasculaire pÃ©riphÃ©rique,Bá»‡nh máº¡ch mÃ¡u ngoáº¡i biÃªn,,,,,,,,,,,,
105,59,33334547,Family semi-functional(Family and Social Aspect),,,,,,,,,,,,,,,,
106,58,33334465,Brief History of Present Illness,,,,,,,,,,,,,,,,
107,58,160801,T4,T4 tumor stage,T4 tumour stage,,,,,,,,,,,,,,
108,56,147951,Bat Ear,orejas colgantes,,,,,,,,,,,,,,,
109,56,33334562,Shameful,,,,,,,,,,,,,,,,
110,56,33334527,Eye Care,,,,,,,,,,,,,,,,
111,54,110743,Post Immunisation Encephalomyelitis,encefalomielitis postvacunal,vaccinatie encefalomyelitis,,,,,,,,,,,,,,
112,54,460,Oedema,Dropsy,Edema,OEDÃˆME,Kuvimba sehemu za mwili kwa kujaa maji,áˆ•áçˆáˆµ  áˆ°á‰ á_êá‰°,Edema nos,enfle,,,,,,,,,
113,52,33334567,Angry with God,,,,,,,,,,,,,,,,
114,51,33334571,Past Treatment,,,,,,,,,,,,,,,,
115,51,33334573,Significant Past Medical History,,,,,,,,,,,,,,,,
116,51,121518,Appendicitis,apendicitis,Appendicite,ViÃªm ruá»™t thá»«a,,,,,,,,,,,,,
117,50,33334499,Severity of pain,,,,,,,,,,,,,,,,
118,50,33334330,Ca Rectum,,,,,,,,,,,,,,,,
119,50,33334304,Acute Necrotising Pancreatitis,,,,,,,,,,,,,,,,
120,50,33334528,ENT Care,,,,,,,,,,,,,,,,
121,49,33334566,Fear Of meeting God,,,,,,,,,,,,,,,,
122,49,33334464,Investigations,,,,,,,,,,,,,,,,
123,47,117307,Autoeczematisation,dermatitis por sensibilizaciÃ_n,,,,,,,,,,,,,,,
124,46,33334561,Guilty,,,,,,,,,,,,,,,,
125,46,33334572,Current Treatment,,,,,,,,,,,,,,,,
126,45,110722,Unsatisfactory Restoration of Tooth,restauraciÃ_n dental defectuosa,,,,,,,,,,,,,,,
127,45,33334356,Intestinal Fistula,,,,,,,,,,,,,,,,
128,44,33334343,Gall Bladder Cancer,,,,,,,,,,,,,,,,
129,44,33334358,Intestinal Perforation,,,,,,,,,,,,,,,,
130,44,114255,Pericarditis with Decompensation,ViÃªm mÃ ng ngoÃ i tim máº¥t bÃ_ vá»›i,,,,,,,,,,,,,,,
131,43,33334560,Angry,,,,,,,,,,,,,,,,
132,42,33334507,Constipation Intensity,,,,,,,,,,,,,,,,
133,42,33334518,Urinary Symptoms Intensity,,,,,,,,,,,,,,,,
134,42,33334508,Cough Intensity,,,,,,,,,,,,,,,,
135,42,33334519,Swelling Intensity,,,,,,,,,,,,,,,,
136,42,33334509,Dyspnoea Intensity,,,,,,,,,,,,,,,,
137,42,33334520,Foul Smell Intensity,,,,,,,,,,,,,,,,
138,42,33334510,Dysphagia Intensity,,,,,,,,,,,,,,,,
139,42,33334521,Ulcer/Pres Sores Intensity,,,,,,,,,,,,,,,,
140,42,33334511,Dyspepsia Intensity,,,,,,,,,,,,,,,,
141,42,33334522,Excess Sweating,,,,,,,,,,,,,,,,
142,42,33334512,Confusion Intensity,,,,,,,,,,,,,,,,
143,42,33334523,Bleeding Intensity,,,,,,,,,,,,,,,,
144,42,33334502,Nausea Intensity,,,,,,,,,,,,,,,,
145,42,33334513,Sore Mouth Intensity,,,,,,,,,,,,,,,,
146,42,33334524,Loss of Weight Intensity,,,,,,,,,,,,,,,,
147,42,33334503,Vomiting Intensity,,,,,,,,,,,,,,,,
148,42,33334514,Dry Mouth Intensity,,,,,,,,,,,,,,,,
149,42,33334525,Impaired Hearing Intensity,,,,,,,,,,,,,,,,
150,42,33334504,Lethargy Intensity,,,,,,,,,,,,,,,,
151,42,33334515,Oral Secretions,,,,,,,,,,,,,,,,
152,42,33334526,Debility/Immobility Intensity,,,,,,,,,,,,,,,,
153,42,33334505,Loss of Appetite Intensity,,,,,,,,,,,,,,,,
154,42,106,Acute Coryza,resfrÃ_o comÃºn,COMMON COLD,CORYZA,URI,URTI,Head Cold,Acute nasopharyngitis,,,,,,,,,
155,42,33334516,Insomnia Intensity,,,,,,,,,,,,,,,,
156,42,33334506,Taste Alteration Intensity,,,,,,,,,,,,,,,,
157,42,33334517,Drowsiness,,,,,,,,,,,,,,,,
158,41,136696,Intestinal Gangrene,gangrena intestinal,gangreen van de darm,,,,,,,,,,,,,,
159,40,150923,Abdominal Abscess,absceso abdominal,abdominaal abces,,,,,,,,,,,,,,
160,40,33334484,Nociceptive,,,,,,,,,,,,,,,,
161,38,7,Gallbladder Calculus,cÃ¡lculo de la vesÃ_cula biliar,"BILIARY TRACT DISEASE, GALLSTONES",GALLSTONES,CALCULS BILIAIRES,Ù_ØªÛ’ Ú©ÛŒ Ù_ØªÚ_Ø±ÛŒ,,,,,,,,,,,
162,38,33334132,Diagnosis,,,,,,,,,,,,,,,,
163,38,9,BLOOD SUGAR,,,,,,,,,,,,,,,,
164,38,33334472,BP(Clinical Examination),,,,,,,,,,,,,,,,
165,38,145250,Chronic Pancreatitis,pancreatitis crÃ_nica,chronische pancreatitis,,,,,,,,,,,,,,
166,38,33334570,Life after-death,,,,,,,,,,,,,,,,
167,37,33334466,General Appearance,,,,,,,,,,,,,,,,
168,37,33334468,Temperature(Clinical Examination),,,,,,,,,,,,,,,,
169,37,119910,Congestive Heart Failure,insuficiencia cardÃ_aca congestiva,CHF (Congestive Heart Failure),congestief hartfalen,Suy tim sung huyáº¿t,_—_°ÑÅÑ‚_______°Ñè ÑÅ_µÑ€_´_µÑ‡___°Ñè ___µ_´__ÑÅÑ‚_°Ñ‚__Ñ‡____ÑÅÑ‚ÑŒ,,,,,,,,,,,
170,37,33334480,Clinical Impression,,,,,,,,,,,,,,,,
171,37,33334471,PR(Clinical Examination),,,,,,,,,,,,,,,,
172,37,33334473,RR(Clinical Examination),,,,,,,,,,,,,,,,
173,36,33334305,Acute pancreatitis Gallstones,,,,,,,,,,,,,,,,
174,36,33334500,Current Medications (taken by patient for pain relief),,,,,,,,,,,,,,,,
175,35,33334553,Slurred speech(Communication Patterns),,,,,,,,,,,,,,,,
176,35,33334479,Local and Systemic Examination,,,,,,,,,,,,,,,,
177,35,33334469,Pallor(Clinical Examination),,,,,,,,,,,,,,,,
178,34,5475,Tuberculin Skin Test,Test Tuberculinique,TB Skin Test,PPD test,Mantoux test,_ŸÑ€___±_° _œ_°__Ñ‚Ñƒ,Tuberculin TÃ¨s Po,TÃ¨s Tuberculin sou po (quantitative),,,,,,,,,
179,31,33334491,Neuropathic,,,,,,,,,,,,,,,,
180,29,33334501,Relief Obtained (Percentage),,,,,,,,,,,,,,,,
181,29,33334133,Co Morbidities,,,,,,,,,,,,,,,,
182,28,117399,Hypertension,hipertensiÃ_n arterial,High blood pressure,HTN (hypertension),Huyáº¿t Ã¡p cao,TÄƒng huyáº¿t Ã¡p,Hypertension artÃ©rielle,HTA,IpÃ¨tansyon,,,,,,,,
183,28,6033,RENAL DISEASE,Kidney disease,"MALADIE RÃ‰NALE	",Maladi ren,,,,,,,,,,,,,
184,27,33334488,Visceral,,,,,,,,,,,,,,,,
185,27,41,PAPANICOLAOU SMEAR,PAP SMEAR,,,,,,,,,,,,,,,
186,26,149631,Acute Necrotizing Pancreatitis,pancreatitis necrosante aguda,acute necrotiserende pancreatitis,,,,,,,,,,,,,,
187,26,118872,Alterations of Sensations,trastorno de la percepciÃ_n sensitiva,,,,,,,,,,,,,,,
188,26,33334326,Ca Oesophagus,,,,,,,,,,,,,,,,
189,26,111712,Ulcerative Colitis,colitis ulcerosa,ViÃªm loÃ©t Ä‘áº¡i trÃ ng,,,,,,,,,,,,,,
190,26,33334301,Abdominal Pain ? Cause,,,,,,,,,,,,,,,,
191,26,45,URINE PREGNANCY TEST,TEST DE GROSSESSE URINAIRE,kutumia mkojo katika kupima mimba,TÃ¨s GWOSES nan PIPI,,,,,,,,,,,,,
192,25,119664,Heart Decompensation,insuficiencia cardÃ_aca descompensada,,,,,,,,,,,,,,,
193,25,33334498,What makes the pain better?,,,,,,,,,,,,,,,,
194,25,33334554,Unable to talk,,,,,,,,,,,,,,,,
195,25,33334535,Perineal Care,,,,,,,,,,,,,,,,
196,24,33334497,What makes the pain worse?,,,,,,,,,,,,,,,,
197,24,33334419,Grade II (CCI),,,,,,,,,,,,,,,,
198,23,33334084,Gun Type,,,,,,,,,,,,,,,,
199,23,33334085,Gun Brand,,,,,,,,,,,,,,,,
200,23,33334490,Visceral Cramping,,,,,,,,,,,,,,,,
201,23,33334420,Grade IIIa (CCI),,,,,,,,,,,,,,,,
202,23,33334485,Nociceptive Aching,,,,,,,,,,,,,,,,
203,23,143021,Cyst of Cystic Duct,quiste del conducto cÃ_stico,cyste van de ductus cysticus,,,,,,,,,,,,,,
204,22,33334478,Ambulation,,,,,,,,,,,,,,,,
205,22,117429,Hyperostosis Corticalis Generalisata,hiperfosfatasemia tardÃ_a,,,,,,,,,,,,,,,
206,21,300,BLOOD TYPING,Groupe Sanguin,Aina za damu,BLOOD GROUP,Blood grouping and RH typing,Tip san,,,,,,,,,,,
207,21,33334444,"That instrument, sponge and needle counts are correct(or not applicable)",,,,,,,,,,,,,,,,
208,21,121136,Biliary Stricture,estrechez de la vÃ_a biliar,,,,,,,,,,,,,,,
209,21,33334569,Forgiveness issues,,,,,,,,,,,,,,,,
210,20,33334443,The name of the procedure recorded,,,,,,,,,,,,,,,,
211,20,33334421,Grade IIIb,,,,,,,,,,,,,,,,
212,20,305,BRUCELLA TEST,,,,,,,,,,,,,,,,
213,20,6032,HEPATIC DISEASE,liver disease,liver disorder,hepatic disorder,,,,,,,,,,,,,
214,20,33334437,"Surgeon reviews: What are the critical or unexpected steps, operative duration, anticipated blood loss?",,,,,,,,,,,,,,,,
215,20,110120,Carcinoma of Testis,neoplasia maligna de testÃ_culo,neoplasia maligna primaria de testÃ_culo,,,,,,,,,,,,,,
216,20,33334438,Anaesthesia team reviews:are there any patient-specific concerns?,,,,,,,,,,,,,,,,
217,20,33334439,Nursing team reviews:has sterility(including indicator results)been confirmed?are there equipment issues or any concerns?,,,,,,,,,,,,,,,,
218,20,33334145,Laproscopic Cholecystectomy,,,,,,,,,,,,,,,,
219,19,33334445,How the specimen is labelled(including patient name),,,,,,,,,,,,,,,,
220,19,33334423,Grade IVb,,,,,,,,,,,,,,,,
221,19,33334446,Whether there are any equipment problems to be addressed,,,,,,,,,,,,,,,,
222,19,33334387,Portal Hypertension EHO,,,,,,,,,,,,,,,,
223,19,120582,Chronic Pulmonary Heart Disease,enfermedad cardiopulmonar crÃ_nica,,,,,,,,,,,,,,,
224,18,119663,Myocardial Decompensation,insuficiencia cardÃ_aca descompensada,,,,,,,,,,,,,,,
225,18,192,serologic test for herpes virus,HSV antibody test,,,,,,,,,,,,,,,
226,18,116266,Localisation Related Epilepsy,epilepsia focal,lokalisatiegebonden epilepsie,Äêá»‹a phÆ°Æ¡ng hÃ_a liÃªn quan Ä‘á»™ng kinh,,,,,,,,,,,,,
227,18,145830,Cerebrovascular Disease,enfermedad cerebrovascular,cerebrovasculaire aandoening,Bá»‡nh máº¡ch mÃ¡u nÃ£o,,,,,,,,,,,,,
228,18,33334487,Nociceptive Heaviness,,,,,,,,,,,,,,,,
229,18,33334459,Disease Name,,,,,,,,,,,,,,,,
230,18,33334555,Shock(Emotional Stage),,,,,,,,,,,,,,,,
231,17,142469,Diabetes Mellitus with Renal Manifestation,nefropatÃ_a diabÃ©tica,,,,,,,,,,,,,,,
232,17,33334300,Abdominal Dehiscence,,,,,,,,,,,,,,,,
233,16,33334337,Colonic Diverticulitis,,,,,,,,,,,,,,,,
234,16,33334532,Wound Detail,,,,,,,,,,,,,,,,
235,16,33334458,Impression about Cure,,,,,,,,,,,,,,,,
236,16,33334142,Operation (Main Operative Findings),,,,,,,,,,,,,,,,
237,16,33334417,Fever,,,,,,,,,,,,,,,,
238,16,33334461,Primary Site,,,,,,,,,,,,,,,,
239,16,33334346,GIST,,,,,,,,,,,,,,,,
240,16,33334462,Secondary Site(s),,,,,,,,,,,,,,,,
241,16,33334537,Lymphedema Details,,,,,,,,,,,,,,,,
242,16,33334303,Achalasia of the Cardia,,,,,,,,,,,,,,,,
243,15,134988,Carcinomatosis,carcinomatosis,carcinomatose,,,,,,,,,,,,,,
244,15,33334422,Grade IVa (CCI),,,,,,,,,,,,,,,,
245,15,135488,Lymphadenopathy,adenomegalia,LymphadÃ©nopathie,lymfadenopathie,Háº¡ch to,Adenopati,,,,,,,,,,,
246,15,130,Puerperal sepsis,septicemia puerperal,Childbed fever,Peurperal fever,Puerperal septicemia,SepticÃ©mie puerpÃ©rale,_Ÿ__ÑÅ_»_µÑ€___´________ ÑÅ_µ_¿ÑÅ_¸ÑÅ,,,,,,,,,,
247,15,33334278,Location (Main Operative Findings),,,,,,,,,,,,,,,,
248,15,33334495,Neuropathic Tingling,,,,,,,,,,,,,,,,
249,15,33334290,Pneumoperitoneum created by veress needle,,,,,,,,,,,,,,,,
250,15,33334333,CBD Stones,,,,,,,,,,,,,,,,
251,14,33334486,Nociceptive Throbbing,,,,,,,,,,,,,,,,
252,14,156025,Hydatid cyst,,,,,,,,,,,,,,,,
253,14,33334110,Normal Build,,,,,,,,,,,,,,,,
254,14,33334325,Ca Liver,,,,,,,,,,,,,,,,
255,14,33334414,Colostomy,,,,,,,,,,,,,,,,
256,14,306,WIDAL TEST,Test Widal,tÃ¨s WIDAL,,,,,,,,,,,,,,
257,14,33334313,Biliary Leak,,,,,,,,,,,,,,,,
258,14,33334492,Neuropathic Burning,,,,,,,,,,,,,,,,
259,14,33334450,CCI,,,,,,,,,,,,,,,,
260,13,33334045,Umbilicius,,,,,,,,,,,,,,,,
261,13,33334477,Skin(Clinical Examination),,,,,,,,,,,,,,,,
262,13,162263,Milliliter,mL,,,,,,,,,,,,,,,
263,13,33334451,Clavien-Dindo Grade,,,,,,,,,,,,,,,,
264,13,33334317,Ca Bile ducts,,,,,,,,,,,,,,,,
265,13,127159,Satyriasis,satiriasis,satyriasis,,,,,,,,,,,,,,
266,13,129348,Postoperative Incisional Hernia,eventraciÃ_n postoperatoria,,,,,,,,,,,,,,,
267,12,33334334,Choledochal Cyst,,,,,,,,,,,,,,,,
268,12,127161,Saturday Night Paralysis,parÃ¡lisis de la noche del sÃ¡bado,,,,,,,,,,,,,,,
269,12,148346,Ascites,ascitis,ascites,BÃ¡ng bá»¥ng,Cá»• chÆ°á»›ng,_êÑÅÑ†_¸Ñ‚,Ascite,Asit,,,,,,,,,
270,12,158828,small intestinal gangrene,,,,,,,,,,,,,,,,
271,12,160987,Urinalysis result (text),O/E urine,Urine test result (text),RÃ©sultat des analyses d'urine (texte),Rezilta urin (tÃ¨ks),,,,,,,,,,,,
272,12,33334285,Hypertension,,,,,,,,,,,,,,,,
273,12,162434,Oil,,,,,,,,,,,,,,,,
274,12,33334143,Anaesthesia (Main Operative Finding),,,,,,,,,,,,,,,,
275,12,178,"Fracture, colles",fractura de Colles,Colles fracture,Colles' fracture,fractuur van Colles,,,,,,,,,,,,
276,12,33334015,Alkaline Phosphatase (C),,,,,,,,,,,,,,,,
277,11,1,Anemia due to Blood Loss,Anemia por pÃ©rdida de sangre,"ANEMIA, BLOOD LOSS","ANÃ‰MIE, PERTE DE SANG",Ø®ÙˆÙ† Ú©ÛŒ Ú©Ù…ÛŒØŒ Ø®ÙˆÙ† Ø¨ÛÅÙ†Û’ Ú©ÛŒ ÙˆØ¬ÛÅ Ø_Û’,,,,,,,,,,,,
278,11,1169,HIV INFECTED,HIV POS,HIV status,HIV status,infectÃ© par le VIH,VIH enfekte,,,,,,,,,,,
279,11,33334543,Family non-supportive(Family and Social Aspect),,,,,,,,,,,,,,,,
280,11,33334534,Catheter Care,,,,,,,,,,,,,,,,
281,11,159825,"uric acid, serum",Acide urique sÃ©rique,Asid Irik,,,,,,,,,,,,,,
282,11,33334460,Diagnosed on,,,,,,,,,,,,,,,,
283,11,116041,Malignant Neoplasm of Stomach,tumor maligno del estÃ_mago,Stomach cancer,maligne maagneoplasma,Tumeur maligne de l'estomac,,,,,,,,,,,,
284,11,114262,Peptic ulcer,Ãºlcera pÃ©ptica,ULCÃˆRE PEPTIQUE,Peptic ulcer disease,peptisch ulcus,LoÃ©t bao tá»_,,,,,,,,,,,
